SD_SYMBOL_ID,SD_SYMBOL,SD_TRADE_DATE,SD_OPEN,SD_CLOSE,SD_HIGH,SD_LOW,SD_ADJ_CLOSE,SD_TXN_VOLUME
190,ADANIPORTS,2024-04-29,1334.30,1317.25,1335.75,1307.00,1311.62,2191564
191,ADANIPORTS,2024-04-30,1323.55,1324.90,1334.65,1316.25,1319.24,2321071
192,ADANIPORTS,2024-05-02,1333.95,1338.80,1348.70,1306.55,1333.08,7991511
193,ADANIPORTS,2024-05-03,1353.00,1320.30,1354.00,1310.45,1314.66,3528822
194,ADANIPORTS,2024-05-06,1322.50,1289.95,1322.50,1257.00,1284.44,4000668
195,ADANIPORTS,2024-05-07,1291.10,1287.65,1301.15,1265.00,1282.15,3474340
196,ADANIPORTS,2024-05-08,1293.35,1277.25,1293.70,1269.05,1271.79,1627418
197,ADANIPORTS,2024-05-09,1279.00,1244.55,1285.80,1240.00,1239.23,2591646
198,ADANIPORTS,2024-05-10,1250.00,1266.75,1278.70,1245.75,1261.34,2022402
199,ADANIPORTS,2024-05-13,1267.00,1306.40,1313.00,1261.65,1300.82,2495810
200,ADANIPORTS,2024-05-14,1306.40,1331.25,1339.90,1285.25,1325.56,2989543
201,ADANIPORTS,2024-05-15,1337.85,1337.85,1353.95,1333.00,1332.13,2189768
202,ADANIPORTS,2024-05-16,1352.20,1345.05,1366.75,1310.50,1339.30,4822618
203,ADANIPORTS,2024-05-17,1330.00,1335.70,1343.30,1321.15,1329.99,1945123
204,ADANIPORTS,2024-05-21,1344.00,1385.50,1398.80,1333.00,1379.58,4200578
205,ADANIPORTS,2024-05-22,1394.35,1378.20,1394.35,1364.20,1372.31,1878562
206,ADANIPORTS,2024-05-23,1384.00,1443.35,1448.80,1369.90,1437.18,7821034
207,ADANIPORTS,2024-05-24,1435.00,1416.10,1444.95,1382.15,1410.05,19100263
208,ADANIPORTS,2024-05-27,1445.00,1431.65,1457.05,1423.60,1425.53,5517078
209,ADANIPORTS,2024-05-28,1438.00,1400.50,1438.00,1398.00,1394.52,4070886
210,ADANIPORTS,2024-05-29,1406.00,1410.00,1427.85,1382.90,1403.98,3214475
211,ADANIPORTS,2024-05-30,1410.00,1383.50,1413.65,1373.65,1377.59,3477661
212,ADANIPORTS,2024-05-31,1391.00,1437.40,1451.00,1391.00,1431.26,8238969
213,ADANIPORTS,2024-06-03,1549.00,1583.95,1621.40,1535.00,1577.18,23398347
214,ADANIPORTS,2024-06-04,1558.00,1248.95,1558.00,1188.00,1243.61,52109624
215,ADANIPORTS,2024-06-05,1281.00,1354.60,1368.00,1160.60,1348.81,20879925
216,ADANIPORTS,2024-06-06,1384.00,1352.95,1404.00,1344.80,1347.17,12153840
217,ADANIPORTS,2024-06-07,1357.70,1378.85,1385.00,1355.05,1372.96,5884018
218,ADANIPORTS,2024-06-10,1404.00,1384.05,1415.35,1381.25,1378.14,4843234
219,ADANIPORTS,2024-06-11,1391.00,1403.45,1418.80,1384.05,1397.45,4122878
220,ADANIPORTS,2024-06-12,1411.75,1393.95,1414.45,1390.60,1387.99,3258265
221,ADANIPORTS,2024-06-13,1403.60,1404.45,1411.00,1388.05,1398.45,2839159
222,ADANIPORTS,2024-06-14,1409.00,1430.70,1442.00,1395.45,1430.70,5651491
223,APOLLOHOSP,2024-01-01,5741.00,5750.05,5765.00,5707.85,5744.87,127030
224,APOLLOHOSP,2024-01-02,5738.10,5746.35,5782.65,5680.00,5741.17,166449
225,APOLLOHOSP,2024-01-03,5730.00,5768.30,5786.00,5673.05,5763.10,198997
226,APOLLOHOSP,2024-01-04,5768.30,5762.20,5839.95,5731.50,5757.01,220702
227,APOLLOHOSP,2024-01-05,5762.20,5754.25,5808.80,5715.00,5749.06,144894
228,APOLLOHOSP,2024-01-08,5750.00,5682.00,5774.85,5640.00,5676.88,157009
